d91187,3999
d60764,1462
d23465,8872
d47908,2212
d75193,5959
d37893,3368
d79903,8765
d42604,5175
d52322,7766
d62040,9538
d71758,2229
d34458,9539
d31320,9638
d41038,2421
d50756,4212
d28182,3268
d80881,9578
d32893,6875
d10319,5832
d20037,6624
d72736,3934
d82454,5625
d59880,4673
d69598,6455
d79316,8946
d89034,1738
d66460,9786
d29160,6296
d38878,8877
d48596,1559
d58314,3241
d35740,2317
d45458,4881
d98158,9499
d50169,6796
d62728,8896
d14739,5391
d67438,2711
d77156,3483
d86874,5164
d81867,6217
d33878,3514
d86577,8924
d96295,1686
d16014,4477
d25732,6969
d93157,4127
d43001,9953
d52720,2535
d30145,1593
d39864,3374
d49582,5966
d59300,7647
d22000,5157
d31718,6739
d41436,8421
d18862,7488
d28580,9251
d81279,6571
d90997,8352
d10716,2844
d20434,3615
d73134,9925
d82852,2717
d34863,8112
d87562,4422
d97280,6214
d92273,7337
d26717,2567
d79417,8977
d89135,1668
d98853,2451
d76279,1318
d85997,3189
d48697,1499
d58415,3282
d68133,5763
d63126,5886
d40552,4854
d50270,6646
d59988,8427
d69706,1999
d47132,9967
d86975,4894
d96693,6585
d16412,9367
d26130,2848
d78829,8458
d13274,3688
d98265,2722
d17985,5595
d85409,3462
d95128,5143
d57828,3553
d85112,6311
d94830,8183
d14549,2664
d24267,4456
d76967,9766
d86685,2557
